OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)","Street Suffix (e.g. apt. 23, blding C)",* City,State,Zip Code,* CAL FIRE Unit,County,* Incident Name,Incident Number (e.g. CAAEU 123456),Incident Start Date,Hazard Type,If Affected 1-9% - Where did fire start?,If Affected 1-9% - What started fire?,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),# of Damaged Outbuildings < 120 SQFT,# of Non Damaged Outbuildings < 120 SQFT,* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,APN (parcel),Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),GLOBALID,Latitude,Longitude,x,y
57547,No Damage,1498,Moranga,Drive,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Enclosed,Unknown,Fire Resistant,Single Pane, , , ,Unknown,4377039008.0,2855247.0,1981.0,1498 MORAGA DR LOS ANGELES CA 90049,320349da-3b86-48d3-8356-742143cb0e09,34.0951533252736,-118.469189064031,-13187929.8013,4041585.9603
57548,No Damage,1494,Moranga,Drive,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,Unknown,4377039007.0,3008466.0,1987.0,1494 MORAGA DR LOS ANGELES CA 90049,ffbe8299-c062-4041-b23e-e3e10580f024,34.0949887911332,-118.468802531541,-13187886.7727,4041563.8426
57549,No Damage,1476,Moranga,Drive,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,Unknown,4377039012.0,3774931.0,1980.0,1488 MORAGA DR LOS ANGELES CA 90049,2490286b-37fa-4a7c-a27f-eff6729de99a,34.0943372543101,-118.468786262153,-13187884.9616,4041476.2594
57550,No Damage,1460,Moranga,Drive,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,Unknown,4377039004.0,1887518.0,1981.0,1460 MORAGA DR LOS ANGELES CA 90049,2cd9aa82-eb13-42af-bb67-7c6db23ed09b,34.0939150313229,-118.468773489906,-13187883.5398,4041419.5022
57551,No Damage,1323,Moranga,Drive,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,Unknown,4368002023.0,2122887.0,1983.0,1323 MORAGA DR LOS ANGELES CA 90049,f0570927-de1b-407a-aa42-326b948779cd,34.0902116998897,-118.469683211099,-13187984.8095,4040921.6951
57552,No Damage,1399,Moranga,Other,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,Unknown,4368003019.0,8942968.0,1996.0,1399 VISTA MORAGA LOS ANGELES CA 90049,e1d52911-204f-4b01-aac0-d3ece2f6e177,34.0894166329048,-118.467424757542,-13187733.3996,4040814.8239
57553,No Damage,1400,Moranga,Other,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Unknown,Not Applicable,Unknown,Unknown,Unknown, , , ,Unknown,4368003021.0,4359598.0,1988.0,1400 VISTA MORAGA LOS ANGELES CA 90049,112dadea-20aa-4bb4-8c7b-87dbcaeda924,34.0895406013006,-118.465391703865,-13187507.0811,4040831.4874
57554,No Damage,11645,Moranga,Lane,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Unknown,Not Applicable,Unknown,Unknown,Unknown, , , ,Unknown,4368002014.0,1556560.0,1982.0,11645 MORAGA LN LOS ANGELES CA 90049,32185ae3-3373-4117-96b7-015619f6f6e1,34.087365042118,-118.468027633997,-13187800.5115,4040539.0581
57555,No Damage,1358,casiano,Drive,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Enclosed,Unknown,Fire Resistant,Multi Pane, , , ,Unknown,4368025007.0,557809.0,1959.0,1358 CASIANO RD LOS ANGELES CA 90049,24d82510-8323-495d-bd83-87c3d1badc18,34.0876245482319,-118.47186103547,-13188227.2438,4040573.9394
57556,No Damage,1366,casiano,Drive,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Enclosed,Unknown,Fire Resistant,Multi Pane, , , ,Unknown,4368025028.0,355381.0,1957.0,1366 CASIANO RD LOS ANGELES CA 90049,7c48fdd9-c06a-464c-abb0-5d2094525fcf,34.0878512267998,-118.471875146207,-13188228.8146,4040604.4083
57557,No Damage,1378,casiano,Drive,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Enclosed,Unknown,Fire Resistant,Multi Pane, , , ,Unknown,4368025029.0,330763.0,1959.0,1378 CASIANO RD LOS ANGELES CA 90049,ed77f063-b7df-49a2-b017-32a6fd7575b7,34.0880850698782,-118.471986038737,-13188241.1591,4040635.8403
57558,No Damage,1386,casiano,Drive,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Enclosed,Unknown,Fire Resistant,Multi Pane, , , ,Unknown,4368025010.0,531030.0,1958.0,1386 CASIANO RD LOS ANGELES CA 90049,d9835c39-342c-4327-bb7d-7879485b4c4a,34.0883438774369,-118.472004524269,-13188243.2169,4040670.628
57559,No Damage,1392,casiano,Drive,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Multi Story,Single Residence,4.0,0.0,0.0,Fire Resistant,Enclosed,Unknown,Fire Resistant,Multi Pane, , , ,Unknown,4368025021.0,518615.0,1963.0,1392 CASIANO RD LOS ANGELES CA 90049,012320e9-eaec-4cf4-b5ee-df97fab62334,34.0886287964323,-118.472061539441,-13188249.5638,4040708.9256
57560,No Damage,0,Casiano,Drive,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4368025018.0,340818.0,1965.0,1357 CASIANO RD LOS ANGELES CA 90049,c891b97f-5727-4d42-97cc-f32fc4588c25,34.0875263890347,-118.472304927188,-13188276.6576,4040560.7454
57561,No Damage,0, ,Unknown,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4377039003.0,1250714.0,1980.0,1444 MORAGA DR LOS ANGELES CA 90049,ed62e0ef-b1a2-4159-a0dc-a1debf8ddffc,34.0935716315797,-118.468636433045,-13187868.2827,4041373.341
57562,No Damage,0, ,Unknown,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4377039002.0,1195446.0,1981.0,1432 MORAGA DR LOS ANGELES CA 90049,13cdd389-cdde-4996-b3b4-2de1a92ff651,34.0931947057373,-118.46857024787,-13187860.915,4041322.6733
57563,No Damage,0, ,Unknown,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4377039001.0,612000.0,1982.0,1420 MORAGA DR LOS ANGELES CA 90049,4cf1196e-d8b4-4e12-81dd-09ba06da569b,34.092752530991,-118.4685828153,-13187862.314,4041263.2349
57564,No Damage,0, ,Unknown,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4377039009.0,1143549.0,1980.0,1401 MORAGA DR LOS ANGELES CA 90049,440776b4-f044-40d7-aa8f-3b3f7402246f,34.0922746878429,-118.469116997586,-13187921.7789,4041199.0022
57565,No Damage,0, ,Unknown,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4377039010.0,1919301.0,1979.0,1381 MORAGA DR LOS ANGELES CA 90049,ea08a2ab-05ec-4429-9496-b79506ee8787,34.0916575943001,-118.468970287429,-13187905.4472,4041116.0517
57566,No Damage,0, ,Unknown,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4377039011.0,1200966.0,1986.0,1363 MORAGA DR LOS ANGELES CA 90049,95b39c7c-cbbd-4052-a278-431f46091198,34.091249398255,-118.46877726822,-13187883.9604,4041061.1818
57567,No Damage,0, ,Unknown,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4368026011.0,155675.0,1963.0,1117 LINDA FLORA DR LOS ANGELES CA 90049,08f35414-17cc-4bdf-8105-2ea021e3121d,34.0898285247969,-118.466144165087,-13187590.8447,4040870.1894
57568,No Damage,0, ,Unknown,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4368002022.0,1681461.0,1982.0,1345 MORAGA DR LOS ANGELES CA 90049,3c713f65-074f-4291-8656-2094dfc14998,34.090761295867,-118.468950748173,-13187903.2721,4040995.5712
57569,No Damage,0, ,Unknown,Unknown,Los Angeles ,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4368002021.0,1660551.0,1983.0,1290 MORAGA DR LOS ANGELES CA 90049,97c7351f-74c4-4bef-89b2-c303f2843d39,34.0896205670873,-118.469414033619,-13187954.8448,4040842.2362
57570,No Damage,0, ,Unknown,Unknown,Los Angeles,CA,0.0,LAC,Los Angeles,Skirball,CALFD 030179,2017-12-06 00:00:00,Fire,Unknown,Unknown,Unknown,Single Family Residence Single Story,Single Residence,4.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,Unknown,4368026009.0,2583346.0,1975.0,1125 LINDA FLORA DR LOS ANGELES CA 90049,48780930-2d5e-4f1a-ba9c-16ad8d7b1fed,34.0901985380087,-118.465745413712,-13187546.4559,4040919.9259
