OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
184,2023,CA,LRA,LAC,VICTOR,00248830,2023-07-25 00:00:00+00:00,2023-07-27 00:00:00+00:00,4.0,7.0,1.0,57.49,2020,343984.6484375,3500.44681430332
534,2022,CA,CCO,LAC,CANYON,00115026,2022-04-06 00:00:00+00:00,2022-04-06 00:00:00+00:00,9.0,7.0,1.0,2.593182,2020,15407.35546875,645.217796364835
535,2022,CA,LRA,LAC,BARREL,00216308,2022-06-29 00:00:00+00:00,2022-06-30 00:00:00+00:00,9.0,7.0,1.0,7.608925,2020,45513.296875,1584.63298497674
536,2022,CA,LRA,LAC,CUT OFF,00230119,2022-07-10 00:00:00+00:00,2022-07-10 00:00:00+00:00,14.0,7.0,1.0,2.501228,2020,14755.64453125,901.81659764373
537,2022,CA,CCO,LAC,HUGHES,00263997,2022-08-06 00:00:00+00:00,2022-08-06 00:00:00+00:00,10.0,7.0,1.0,7.944128,2020,47749.11328125,1204.86300003396
538,2022,CA,CCO,LAC,SYCAMORE,00051618,2022-02-10 00:00:00+00:00,2022-02-11 00:00:00+00:00,14.0,7.0,1.0,3.735543,2020,22052.17578125,1130.49981314723
539,2022,CA,CCO,LAC,SAM,00269184,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,14.0,7.0,1.0,125.3294,2020,753342.03515625,6504.56126241821
540,2022,CA,CCO,LAC,QUAIL,00278058,2022-08-17 00:00:00+00:00,2022-08-18 00:00:00+00:00,14.0,7.0,1.0,60.45229,2020,360946.04296875,4126.2223006563
541,2022,CA,LRA,LAC,RIDGE,00280336,2022-08-18 00:00:00+00:00,2022-08-19 00:00:00+00:00,14.0,7.0,1.0,4.834825,2020,28648.2421875,978.568954557221
542,2022,CA,CCO,LAC,TIERRA,00222780,2022-08-17 00:00:00+00:00,2022-08-17 00:00:00+00:00,14.0,7.0,1.0,2.101613,2020,12569.51171875,718.012932041454
543,2022,CA,CCO,LAC,ROUTE,00294803,2022-08-31 00:00:00+00:00,2022-09-07 00:00:00+00:00,14.0,7.0,1.0,5227.923,2020,31259236.4570312,32350.6960298258
544,2022,CA,CCO,LAC,MUNZ,00313159,2022-09-13 00:00:00+00:00,2022-09-14 00:00:00+00:00,14.0,7.0,1.0,1.847821,2020,11081.2265625,461.619076099197
545,2022,CA,CCO,LAC,CHESEBORO,00304524,2022-09-07 00:00:00+00:00,2022-09-08 00:00:00+00:00,14.0,7.0,1.0,1.093091,2020,6529.66015625,350.443293916413
546,2022,CA,LRA,LAC,LOBO,00326174,2022-09-24 00:00:00+00:00,2022-09-25 00:00:00+00:00,14.0,7.0,1.0,10.79503,2020,63953.0078125,1397.11626360272
548,2022,CA,CCO,LAC,PYRAMID,00358988,2022-10-21 00:00:00+00:00,2022-10-22 00:00:00+00:00,10.0,7.0,1.0,6.758175,2020,40658.81640625,946.095224887192
748,2021,CA,CCO,LAC,TOWSLEY,00023140,2021-01-19 00:00:00+00:00,2021-01-22 00:00:00+00:00,14.0,1.0,1.0,183.8866,2020,1094378.0703125,7867.4514331809
749,2021,CA,LRA,LAC,KELLOGG,00023118,2021-01-19 00:00:00+00:00,2021-01-19 00:00:00+00:00,14.0,1.0,1.0,12.2616,2020,72488.9609375,1239.72451905119
750,2021,CA,CCO,LAC,NEWTON,00009554,2021-01-08 00:00:00+00:00,2021-01-08 00:00:00+00:00,14.0,1.0,1.0,2.265879,2020,13399.23828125,443.870646367217
751,2021,CA,CCO,LAC,SPRINGS,00023522,2021-01-19 00:00:00+00:00,2021-01-19 00:00:00+00:00,14.0,1.0,1.0,2.711827,2020,16191.2109375,602.769807076875
752,2021,CA,LRA,LAC,RYE,00039029,2021-02-02 00:00:00+00:00,2021-02-02 00:00:00+00:00,2.0,1.0,1.0,1.171693,2020,6991.0078125,381.443667019439
753,2021,CA,LRA,LAC,KNOLLS,00065761,2021-02-28 00:00:00+00:00,2021-02-28 00:00:00+00:00,14.0,1.0,1.0,5.079092,2020,30009.5234375,1699.60172736577
754,2021,CA,CCO,LAC,TURNBULL,00117398,2021-04-18 00:00:00+00:00,2021-04-18 00:00:00+00:00,14.0,1.0,1.0,1.467101,2020,8657.671875,419.574015017645
755,2021,CA,CCO,LAC,NORTH,00128550,2021-04-28 00:00:00+00:00,2021-04-30 00:00:00+00:00,14.0,1.0,1.0,552.1964,2020,3295783.60546875,12210.6425154492
756,2021,CA,LRA,LAC,VIRGENES,00129683,2021-04-29 00:00:00+00:00,2021-04-29 00:00:00+00:00,14.0,1.0,1.0,6.461127,2020,38272.453125,841.440750299626
757,2021,CA,CCO,LAC,PINE,00144343,2021-05-12 00:00:00+00:00,2021-05-14 00:00:00+00:00,14.0,1.0,1.0,441.2523,2020,2631239.4921875,21430.1348462545
758,2021,CA,LRA,LAC,PALISADES,00001448,2021-05-15 00:00:00+00:00,2021-05-21 00:00:00+00:00,14.0,1.0,1.0,1202.648,2020,7115175.3671875,19990.114323399
759,2021,CA,CCO,LAC,LIMA,00207495,2021-07-06 00:00:00+00:00,2021-07-06 00:00:00+00:00,14.0,1.0,1.0,61.52447,2020,368931.28125,3723.94078217574
760,2021,CA,CCO,LAC,DULCE,00205231,2021-07-04 00:00:00+00:00,2021-07-04 00:00:00+00:00,14.0,1.0,1.0,12.19143,2020,72843.36328125,1372.73361260489
761,2021,CA,CCO,LAC,TUMBLEWEED,00205212,2021-07-04 00:00:00+00:00,2021-07-08 00:00:00+00:00,14.0,1.0,1.0,856.8701,2020,5150536.13671875,17039.1214432664
762,2021,CA,CCO,LAC,FLORES,00223635,2021-07-19 00:00:00+00:00,2021-07-19 00:00:00+00:00,14.0,1.0,1.0,6.922003,2020,40922.27734375,1173.61544978681
763,2021,CA,CCO,LAC,SYCAMORE,00240307,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,10.0,1.0,1.0,3.27472,2020,19692.67578125,615.439122138747
764,2021,CA,CCO,LAC,VASQUEZ,00244896,2021-08-06 00:00:00+00:00,2021-08-06 00:00:00+00:00,14.0,1.0,1.0,1.501651,2020,8964.01171875,594.401024090168
765,2021,CA,CCO,LAC,GOLDEN,00246149,2021-08-07 00:00:00+00:00,2021-08-07 00:00:00+00:00,10.0,1.0,1.0,19.88849,2020,118472.01171875,3090.81560394961
766,2021,CA,CCO,LAC,DALTON,00304402,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00,10.0,1.0,1.0,2.21358,2020,13117.1484375,665.076004830206
767,2021,CA,LRA,LAC,TONNER,00310831,2021-09-30 00:00:00+00:00,2021-09-30 00:00:00+00:00,14.0,1.0,1.0,1.969455,2020,11616.12109375,442.469459640313
768,2021,CA,CCO,LAC,TUNA,00211043,2021-07-09 00:00:00+00:00,2021-07-09 00:00:00+00:00,14.0,4.0,1.0,4.544237,2020,26855.39453125,893.374158362318
769,2021,CA,CCO,LAC,MIDDLE,00386317,2021-11-11 00:00:00+00:00,2021-11-11 00:00:00+00:00,11.0,1.0,1.0,17.06123,2020,99265.796875,1238.32352484562
813,2021,CA,CCO,LAC,BOAT,02130196,2021-07-01 00:00:00+00:00,2021-07-01 00:00:00+00:00,10.0,1.0,1.0,1.496656,2020,9008.015625,807.78356103229
949,2021,CA,CCO,LAC,PACIFICO,Unknown,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,15.0,7.0,1.0,2.883715,2020,17045.55859375,769.721101577619
955,2021,CA,CCO,LAC,ROCKY 3,00070396,2021-08-18 00:00:00+00:00,2021-08-18 00:00:00+00:00,14.0,4.0,1.0,2.237706,2020,13293.8984375,486.862066528628
1168,2020,CA,CCO,LAC,EQUESTRIAN,00167541,2020-06-08 00:00:00+00:00,2020-06-09 00:00:00+00:00,11.0,1.0,1.0,83.61877,2020,499137.76953125,3815.29825199733
1169,2020,CA,CCO,LAC,SOLEDAD,00197926,2020-07-05 00:00:00+00:00,2020-07-07 00:00:00+00:00,9.0,1.0,1.0,1525.536,2020,9101965.32421875,23117.5582574448
1170,2020,CA,CCO,LAC,RIDGE,00222638,2020-07-27 00:00:00+00:00,2020-07-28 00:00:00+00:00,14.0,7.0,1.0,320.8393,2020,1928676.69140625,12353.9659255893
1171,2020,CA,CCO,LAC,CASTAIC,00228163,2020-08-01 00:00:00+00:00,2020-08-01 00:00:00+00:00,14.0,1.0,1.0,178.3116,2020,1066001.359375,6079.35151358337
1172,2020,CA,CCO,LAC,WEST,00181840,2020-06-21 00:00:00+00:00,2020-06-21 00:00:00+00:00,14.0,1.0,1.0,46.83757,2020,281528.85546875,2371.90873965361
1173,2020,CA,CCO,LAC,3 POINTS,00198047,2020-07-05 00:00:00+00:00,2020-07-05 00:00:00+00:00,14.0,1.0,1.0,11.78609,2020,70801.65234375,1043.06249914957
1175,2020,CA,CCO,LAC,JOHNSON,00259152,2020-08-28 00:00:00+00:00,2020-08-29 00:00:00+00:00,10.0,1.0,1.0,291.9492,2020,1750755.3046875,7290.87199216327
1176,2020,CA,CCO,LAC,QUAIL,00306071,2020-10-09 00:00:00+00:00,2020-10-09 00:00:00+00:00,5.0,1.0,1.0,12.85847,2020,77284.2890625,1617.63837654305
