0,Date,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4
0.5,2002-01-01,99.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2002-02-01,100.0,100.0,82.5,10.2,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2002-03-01,100.0,100.0,99.9,86.5,6.8,0.0,0.0,0.0,0.0,0.0
0.0,2002-04-01,100.0,100.0,100.0,99.7,32.5,0.0,0.0,0.0,0.0,0.0
0.0,2002-05-01,100.0,100.0,100.0,100.0,71.2,0.0,0.0,0.0,0.0,0.0
0.0,2002-06-01,99.9,99.9,99.9,99.6,58.0,0.0,0.0,0.0,0.0,0.0
0.0,2002-07-01,99.9,99.9,99.9,99.6,43.1,0.0,0.0,0.0,0.0,0.0
0.0,2002-08-01,100.0,100.0,100.0,100.0,99.8,0.0,0.0,0.0,0.0,0.0
0.0,2002-09-01,100.0,100.0,100.0,100.0,94.5,0.0,0.0,0.0,0.0,0.0
0.0,2002-10-01,100.0,100.0,100.0,100.0,99.4,0.0,0.0,0.0,0.0,0.0
0.0,2002-11-01,100.0,98.3,54.8,32.2,8.0,0.0,0.0,0.0,0.0,0.0
75.0,2002-12-01,25.1,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,2003-01-01,72.0,34.7,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.8,2003-04-01,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0
77.5,2003-05-01,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0
73.9,2003-06-01,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0
44.3,2003-07-01,0.0,0.0,0.0,0.0,0.0,55.7,9.4,0.0,0.0,0.0
68.2,2003-08-01,0.0,0.0,0.0,0.0,0.0,31.8,11.4,0.0,0.0,0.0
68.6,2003-09-01,0.0,0.0,0.0,0.0,0.0,31.4,13.1,0.0,0.0,0.0
0.0,2003-10-01,0.0,0.0,0.0,0.0,0.0,100.1,77.6,9.5,0.0,0.0
63.9,2003-11-01,0.0,0.0,0.0,0.0,0.0,36.1,8.2,0.0,0.0,0.0
98.1,2003-12-01,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0
1.1,2004-01-01,98.9,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.3,2004-02-01,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.9,2004-03-01,83.1,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,2004-04-01,93.1,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2004-05-01,97.0,73.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,2004-06-01,97.3,63.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,2004-07-01,94.5,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2004-08-01,99.5,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.6,2004-09-01,77.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.5,2004-10-01,0.0,0.0,0.0,0.0,0.0,75.5,3.3,0.0,0.0,0.0
88.0,2004-11-01,2.8,0.0,0.0,0.0,0.0,9.2,1.9,0.0,0.0,0.0
0.0,2004-12-01,0.0,0.0,0.0,0.0,0.0,99.9,99.8,83.8,28.9,0.0
0.0,2005-01-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,99.7,72.9
0.0,2005-02-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,99.9
0.0,2005-03-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,96.8
0.0,2005-04-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,95.7
0.0,2005-05-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,97.3
0.0,2005-06-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,97.1
0.0,2005-07-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,98.9,73.6
0.0,2005-08-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,99.4,68.2
0.0,2005-09-01,0.0,0.0,0.0,0.0,0.0,100.0,100.0,99.0,88.2,14.0
0.0,2005-10-01,0.0,0.0,0.0,0.0,0.0,99.9,99.9,82.3,35.0,12.6
71.7,2005-11-01,0.0,0.0,0.0,0.0,0.0,28.3,17.5,3.1,0.0,0.0
68.7,2005-12-01,14.8,0.6,0.0,0.0,0.0,16.4,6.3,0.0,0.0,0.0
69.0,2006-01-01,30.9,4.6,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
