year,Observed
1950,72.76127625
1951,72.4103241
1952,71.60496521
1953,73.83708954
1954,73.49398804
1955,71.92887878
1956,73.60720062
1957,73.44042969
1958,75.75634766
1959,75.82691956
1960,74.44450378
1961,73.84269714
1962,72.3084259
1963,73.35806274
1964,72.3421936
1965,72.38515472
1966,73.88861084
1967,74.08856201
1968,74.57917023
1969,73.3605423
1970,74.43353271
1971,73.41687012
1972,74.67036438
1973,73.12979126
1974,73.81150055
1975,72.62139893
1976,75.30412292
1977,74.61880493
1978,74.47806549
1979,74.92719269
1980,75.37068939
1981,76.15634155
1982,73.30496216
1983,74.71385193
1984,76.5451355
1985,74.54653931
1986,74.85224915
1987,73.66373444
1988,74.59184265
1989,75.23830414
1990,75.34287262
1991,73.50431824
1992,75.05517578
1993,74.13536072
1994,74.01448059
1995,73.63961792
1996,74.88764191
1997,75.31271362
1998,72.21347046
1999,72.8379364
2000,73.27151489
2001,72.05082703
2002,72.62106323
2003,73.82855988
2004,73.53636932
2005,73.78497314
2006,73.65354919
