,year,Observed Max Temp,Observed Min Temp,Max Observed Precipitation,month,0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,Max Wind Speed,OBJECTID,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,Shape__Area,Shape__Length,Damage Inspection Date,Damage,Hazard Type,If Affected 1-9% - Where did fire start?,If Affected 1-9% - What started fire?,Structure Defense Actions Taken,Structure Type,Structure Category,# Units in Structure (if multi unit),# of Damaged Outbuildings < 120 SQFT,# of Non Damaged Outbuildings < 120 SQFT,Zip Code,CAL FIRE Unit,Latitude,Longitude,x,y,Fuel Moisture Date,FUEL_TYPE,PERCENT,GROUP,LAT,LON,ELE
0,2000,73.27151489,52.33650208,14.59103114,2000-02-01,,,,,,,,,,,,17.761274336,7700.0,CCO,LAC,BURKE,00002298,2000-02-25,,14.0,6.0,1.0,171.8867,1025806.69921875,5448.24117585532,,,,,,,,,,,,,,,,,,,,,,,,
1,2000,73.27151489,52.33650208,14.59103114,2000-03-01,,,,,,,,,,,,16.899036926363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2000,73.27151489,52.33650208,14.59103114,2000-06-01,,,,,,,,,,,,,7784.0,CCO,LAC,DRY,00000975,2000-06-06,,14.0,6.0,1.0,253.3635,1515426.56640625,5046.69473689221,,,,,,,,,,,,,,,,,,,,,,,,
3,2000,73.27151489,52.33650208,14.59103114,2000-06-01,,,,,,,,,,,,,7816.0,CCO,LAC,CALABASAS,00001008,2000-06-11,2000-06-12,14.0,5.0,1.0,1024.243,6072928.26171875,12488.2458617427,,,,,,,,,,,,,,,,,,,,,,,,
4,2000,73.27151489,52.33650208,14.59103114,2000-07-01,,,,,,,,,,,,,7782.0,CCO,LAC,LAKE,00001261,2000-07-19,,14.0,6.0,1.0,73.86954,443022.62109375,3120.04205741338,,,,,,,,,,,,,,,,,,,,,,,,
5,2000,73.27151489,52.33650208,14.59103114,2000-08-01,,,,,,,,,,,,,7662.0,CCO,LAC,WEST,00001366,2000-08-04,,14.0,6.0,1.0,121.432,723453.93359375,4792.32017422496,,,,,,,,,,,,,,,,,,,,,,,,
6,2000,73.27151489,52.33650208,14.59103114,2000-09-01,,,,,,,,,,,,,7661.0,CCO,LAC,YUCCA,00001623,2000-09-13,,14.0,6.0,1.0,788.8675,4712729.17578125,17420.6072703588,,,,,,,,,,,,,,,,,,,,,,,,
7,2000,73.27151489,52.33650208,14.59103114,2000-10-01,,,,,,,,,,,,,7699.0,CCO,LAC,ORCAS,00001864,2000-10-22,,14.0,6.0,1.0,35.4088,210400.80078125,2176.73696007717,,,,,,,,,,,,,,,,,,,,,,,,
8,2001,72.05082703,51.73324203,20.7455784,2001-02-01,,,,,,,,,,,,16.709914204999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-05,Chamise,102.0,LA County,34.124722222222225,-118.36888888888888,1305.0
9,2001,72.05082703,51.73324203,20.7455784,2001-02-01,,,,,,,,,,,,16.709914204999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-26,Chamise,116.0,LA County,34.124722222222225,-118.36888888888888,1305.0
10,2001,72.05082703,51.73324203,20.7455784,2001-03-01,,,,,,,,,,,,16.45164975090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-03-12,Chamise,130.0,LA County,34.124722222222225,-118.36888888888888,1305.0
11,2001,72.05082703,51.73324203,20.7455784,2001-03-01,,,,,,,,,,,,16.45164975090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-03-26,Chamise,130.0,LA County,34.124722222222225,-118.36888888888888,1305.0
12,2001,72.05082703,51.73324203,20.7455784,2001-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-04-09,Chamise,136.0,LA County,34.124722222222225,-118.36888888888888,1305.0
13,2001,72.05082703,51.73324203,20.7455784,2001-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-04-23,Chamise,154.0,LA County,34.124722222222225,-118.36888888888888,1305.0
14,2001,72.05082703,51.73324203,20.7455784,2001-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-14,Chamise,127.0,LA County,34.124722222222225,-118.36888888888888,1305.0
