Unnamed: 0,year,Observed Max Temp,Observed Min Temp,Max Observed Precipitation,month,0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,Max Wind Speed,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,Shape__Area,Shape__Length,Damage Inspection Date,Damage,Structure Type,# Units in Structure (if multi unit),Latitude,Longitude,Fuel Moisture Date,PERCENT
0,2000,73.27151489,52.33650208,14.59103114,2/1/00,,,,,,,,,,,,17.76127434,2298,2/25/00,,14.0,171.8867,1025806.699,5448.241176,inaccessible,inaccessible,unknown,1.0,,,,
1,2000,73.27151489,52.33650208,14.59103114,3/1/00,,,,,,,,,,,,16.89903693,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,,
2,2000,73.27151489,52.33650208,14.59103114,6/1/00,,,,,,,,,,,,,975,6/6/00,,14.0,253.3635,1515426.566,5046.694737,inaccessible,inaccessible,unknown,1.0,,,,
3,2000,73.27151489,52.33650208,14.59103114,6/1/00,,,,,,,,,,,,,1008,6/11/00,6/12/00,14.0,1024.243,6072928.262,12488.24586,inaccessible,inaccessible,unknown,1.0,,,,
4,2000,73.27151489,52.33650208,14.59103114,7/1/00,,,,,,,,,,,,,1261,7/19/00,,14.0,73.86954,443022.6211,3120.042057,inaccessible,inaccessible,unknown,1.0,,,,
5,2000,73.27151489,52.33650208,14.59103114,8/1/00,,,,,,,,,,,,,1366,8/4/00,,14.0,121.432,723453.9336,4792.320174,inaccessible,inaccessible,unknown,1.0,,,,
6,2000,73.27151489,52.33650208,14.59103114,9/1/00,,,,,,,,,,,,,1623,9/13/00,,14.0,788.8675,4712729.176,17420.60727,inaccessible,inaccessible,unknown,1.0,,,,
7,2000,73.27151489,52.33650208,14.59103114,10/1/00,,,,,,,,,,,,,1864,10/22/00,,14.0,35.4088,210400.8008,2176.73696,inaccessible,inaccessible,unknown,1.0,,,,
8,2001,72.05082703,51.73324203,20.7455784,2/1/01,,,,,,,,,,,,16.7099142,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,2/5/01,102.0
9,2001,72.05082703,51.73324203,20.7455784,2/1/01,,,,,,,,,,,,16.7099142,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,2/26/01,116.0
10,2001,72.05082703,51.73324203,20.7455784,3/1/01,,,,,,,,,,,,16.45164975,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,3/12/01,130.0
11,2001,72.05082703,51.73324203,20.7455784,3/1/01,,,,,,,,,,,,16.45164975,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,3/26/01,130.0
12,2001,72.05082703,51.73324203,20.7455784,4/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/9/01,136.0
13,2001,72.05082703,51.73324203,20.7455784,4/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/23/01,154.0
14,2001,72.05082703,51.73324203,20.7455784,5/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,5/14/01,127.0
15,2001,72.05082703,51.73324203,20.7455784,5/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,5/28/01,112.0
16,2001,72.05082703,51.73324203,20.7455784,6/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,6/11/01,106.0
17,2001,72.05082703,51.73324203,20.7455784,6/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,6/25/01,95.0
18,2001,72.05082703,51.73324203,20.7455784,7/1/01,,,,,,,,,,,,,1139,7/15/01,,14.0,36.24531,214751.8203,2315.553452,inaccessible,inaccessible,unknown,1.0,,,7/9/01,94.0
19,2001,72.05082703,51.73324203,20.7455784,7/1/01,,,,,,,,,,,,,1139,7/15/01,,14.0,36.24531,214751.8203,2315.553452,inaccessible,inaccessible,unknown,1.0,,,7/30/01,80.0
20,2001,72.05082703,51.73324203,20.7455784,7/1/01,,,,,,,,,,,,,1133,7/7/01,,14.0,194.0872,1158506.398,7824.836438,inaccessible,inaccessible,unknown,1.0,,,7/9/01,94.0
21,2001,72.05082703,51.73324203,20.7455784,7/1/01,,,,,,,,,,,,,1133,7/7/01,,14.0,194.0872,1158506.398,7824.836438,inaccessible,inaccessible,unknown,1.0,,,7/30/01,80.0
22,2001,72.05082703,51.73324203,20.7455784,8/1/01,,,,,,,,,,,,,1170,8/27/01,,14.0,1788.64,10683789.88,23862.34238,inaccessible,inaccessible,unknown,1.0,,,8/13/01,76.0
23,2001,72.05082703,51.73324203,20.7455784,8/1/01,,,,,,,,,,,,,1170,8/27/01,,14.0,1788.64,10683789.88,23862.34238,inaccessible,inaccessible,unknown,1.0,,,8/27/01,76.0
24,2001,72.05082703,51.73324203,20.7455784,8/1/01,,,,,,,,,,,,,1167,8/24/01,,14.0,52.0729,311290.2617,2888.617421,inaccessible,inaccessible,unknown,1.0,,,8/13/01,76.0
25,2001,72.05082703,51.73324203,20.7455784,8/1/01,,,,,,,,,,,,,1167,8/24/01,,14.0,52.0729,311290.2617,2888.617421,inaccessible,inaccessible,unknown,1.0,,,8/27/01,76.0
26,2001,72.05082703,51.73324203,20.7455784,9/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,9/10/01,69.0
27,2001,72.05082703,51.73324203,20.7455784,9/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,9/24/01,69.0
28,2001,72.05082703,51.73324203,20.7455784,10/1/01,,,,,,,,,,,,,2,10/12/01,,14.0,6401.868,38231266.7,56751.17269,inaccessible,inaccessible,unknown,1.0,,,10/8/01,67.0
29,2001,72.05082703,51.73324203,20.7455784,10/1/01,,,,,,,,,,,,,2,10/12/01,,14.0,6401.868,38231266.7,56751.17269,inaccessible,inaccessible,unknown,1.0,,,10/15/01,65.0
30,2001,72.05082703,51.73324203,20.7455784,10/1/01,,,,,,,,,,,,,2,10/12/01,,14.0,6401.868,38231266.7,56751.17269,inaccessible,inaccessible,unknown,1.0,,,10/22/01,66.0
31,2001,72.05082703,51.73324203,20.7455784,11/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,11/5/01,65.0
32,2001,72.05082703,51.73324203,20.7455784,11/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,11/26/01,65.0
33,2001,72.05082703,51.73324203,20.7455784,12/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,12/10/01,72.0
34,2002,72.62106323,51.41127014,6.782572569,1/1/02,0.5,99.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,1/8/02,83.0
