OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
184,2023,CA,LRA,LAC,VICTOR,00248830,2023/07/25 00:00:00+00,2023/07/27 00:00:00+00,4,7,1,57.49, ,,{7A6D6F37-3738-418C-96F3-632C7BB252EB},,,2020,343984.6484375,3500.44681430332
534,2022,CA,CCO,LAC,CANYON,00115026,2022/04/06 00:00:00+00,2022/04/06 00:00:00+00,9,7,1,2.593182,,,{7AB52765-9118-466F-9AD6-4E815D3A6772},,,2020,15407.35546875,645.217796364835
535,2022,CA,LRA,LAC,BARREL,00216308,2022/06/29 00:00:00+00,2022/06/30 00:00:00+00,9,7,1,7.608925,,,{4200A3E8-C00D-4F4C-B43F-9F01DA1DC6BF},,,2020,45513.296875,1584.63298497674
536,2022,CA,LRA,LAC,CUT OFF,00230119,2022/07/10 00:00:00+00,2022/07/10 00:00:00+00,14,7,1,2.501228,,,,,,2020,14755.64453125,901.81659764373
537,2022,CA,CCO,LAC,HUGHES,00263997,2022/08/06 00:00:00+00,2022/08/06 00:00:00+00,10,7,1,7.944128,,,{874F1FFB-5162-4830-9B34-AA83E2404072},,,2020,47749.11328125,1204.86300003396
538,2022,CA,CCO,LAC,SYCAMORE,00051618,2022/02/10 00:00:00+00,2022/02/11 00:00:00+00,14,7,1,3.735543,,,{77FBE31A-636F-44C0-ABE7-611D1C06F214},,,2020,22052.17578125,1130.49981314723
539,2022,CA,CCO,LAC,SAM,00269184,2022/08/10 00:00:00+00,2022/08/11 00:00:00+00,14,7,1,125.3294,,,{856D83A6-E6BA-416B-8800-94E4F35F5066},,,2020,753342.03515625,6504.56126241821
540,2022,CA,CCO,LAC,QUAIL,00278058,2022/08/17 00:00:00+00,2022/08/18 00:00:00+00,14,7,1,60.45229,,,{9566B9A2-C067-4E91-8026-F4E83013C428},,,2020,360946.04296875,4126.2223006563
541,2022,CA,LRA,LAC,RIDGE,00280336,2022/08/18 00:00:00+00,2022/08/19 00:00:00+00,14,7,1,4.834825,,,{3811358E-4FE1-4AC6-93D7-12F991C25768},,,2020,28648.2421875,978.568954557221
542,2022,CA,CCO,LAC,TIERRA,00222780,2022/08/17 00:00:00+00,2022/08/17 00:00:00+00,14,7,1,2.101613,,,{7C9FCF52-9513-4247-950D-7366B2CFD7F4},,,2020,12569.51171875,718.012932041454
543,2022,CA,CCO,LAC,ROUTE,00294803,2022/08/31 00:00:00+00,2022/09/07 00:00:00+00,14,7,1,5227.923,,,{E27C88E9-90B0-4557-8DB3-3ED1232D95A0},,,2020,31259236.4570312,32350.6960298258
544,2022,CA,CCO,LAC,MUNZ,00313159,2022/09/13 00:00:00+00,2022/09/14 00:00:00+00,14,7,1,1.847821,,,{62D7ED5F-EB02-4D9C-A6C6-52A81D9078F1},,,2020,11081.2265625,461.619076099197
545,2022,CA,CCO,LAC,CHESEBORO,00304524,2022/09/07 00:00:00+00,2022/09/08 00:00:00+00,14,7,1,1.093091,,,{89D02F81-6609-485A-BAC2-C5CB3050CEEC},,,2020,6529.66015625,350.443293916413
