0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
2.2,d_18950901,0,0,0,0,0,0,97.9,2.3,0,0,0
98.2,d_18951001,0,0,0,0,0,0,1.8,0,0,0,0
100,d_18951101,0,0,0,0,0,0,0,0,0,0,0
33.6,d_18951201,66.4,1.5,0,0,0,0,0,0,0,0,0
93.5,d_18960101,6.5,0,0,0,0,0,0,0,0,0,0
0,d_18960201,100,73.2,0.8,0,0,0,0,0,0,0,0
57.2,d_18960301,42.8,0,0,0,0,0,0,0,0,0,0
46.5,d_18960401,53.5,0.8,0,0,0,0,0,0,0,0,0
38.8,d_18960501,61.2,4.3,0,0,0,0,0,0,0,0,0
44.3,d_18960601,55.8,1.7,0,0,0,0,0,0,0,0,0
25.3,d_18960701,74.7,1.8,0,0,0,0,0,0,0,0,0
40.1,d_18960801,59.9,0.5,0,0,0,0,0,0,0,0,0
100,d_18960901,0,0,0,0,0,0,0,0,0,0,0
100,d_18961001,0,0,0,0,0,0,0,0,0,0,0
0,d_18961101,0,0,0,0,0,0,100,69.9,0,0,0
96,d_18961201,0,0,0,0,0,0,4,0,0,0,0
72.1,d_18970101,0,0,0,0,0,0,27.9,0,0,0,0
0.2,d_18970201,0,0,0,0,0,0,99.8,1,0,0,0
0,d_18970301,0,0,0,0,0,0,100,2.8,0,0,0
59.7,d_18970401,0,0,0,0,0,0,40.3,0,0,0,0
83.8,d_18970501,0,0,0,0,0,0,16.2,0,0,0,0
81.3,d_18970601,0,0,0,0,0,0,18.7,0,0,0,0
100,d_18970701,0,0,0,0,0,0,0,0,0,0,0
99.5,d_18970801,0,0,0,0,0,0,0.5,0,0,0,0
73.2,d_18970901,0,0,0,0,0,0,26.8,0,0,0,0
3.4,d_18971001,0,0,0,0,0,0,96.6,15.3,0,0,0
98.7,d_18971101,0,0,0,0,0,0,1.3,0,0,0,0
20.3,d_18971201,79.7,31.7,0.1,0,0,0,0,0,0,0,0
53.7,d_18980101,46.2,14.9,0,0,0,0,0,0,0,0,0
0,d_18980201,100,74.3,7.4,0,0,0,0,0,0,0,0
0,d_18980301,100,96.9,20.5,0.9,0,0,0,0,0,0,0
0,d_18980401,99.9,98.9,34.1,5.6,0,0,0,0,0,0,0
0,d_18980501,100,90.7,11.3,0,0,0,0,0,0,0,0
0,d_18980601,100.1,96.7,13.5,0,0,0,0,0,0,0,0
0,d_18980701,100,100,100,30.8,0,0,0,0,0,0,0
0,d_18980801,100,100,60,0.7,0,0,0,0,0,0,0
0,d_18980901,100,81.9,0,0,0,0,0,0,0,0,0
0,d_18981001,100,95,0,0,0,0,0,0,0,0,0
0,d_18981101,100,98.9,0,0,0,0,0,0,0,0,0
0,d_18981201,100,97.8,0.5,0,0,0,0,0,0,0,0
3,d_18990101,97,21.4,0,0,0,0,0,0,0,0,0
0,d_18990201,100,100,97.5,86.6,2.6,0,0,0,0,0,0
0,d_18990301,100,100,96.8,9.2,0,0,0,0,0,0,0
0,d_18990401,100,100,99,58.6,1.2,0,0,0,0,0,0
0,d_18990501,99.9,99.9,98.9,84,3.2,0,0,0,0,0,0
0,d_18990601,100,100,99,68.4,0,0,0,0,0,0,0
0,d_18990701,100,100,97,39,0,0,0,0,0,0,0
0,d_18990801,100,100,34,0,0,0,0,0,0,0,0
0,d_18990901,100,69.8,0,0,0,0,0,0,0,0,0
0.2,d_18991001,99.9,22.7,0,0,0,0,0,0,0,0,0
100,d_18991101,0,0,0,0,0,0,0,0,0,0,0
90,d_18991201,10,0,0,0,0,0,0,0,0,0,0
81.5,d_19000101,18.5,0,0,0,0,0,0,0,0,0,0
0,d_19000201,100,99,0,0,0,0,0,0,0,0,0
0,d_19000301,100,100,46.1,0,0,0,0,0,0,0,0
0,d_19000401,100,100,48.4,0,0,0,0,0,0,0,0
0,d_19000501,100,99,0,0,0,0,0,0,0,0,0
0,d_19000601,100,99,0,0,0,0,0,0,0,0,0
0,d_19000701,100,99,17.8,0,0,0,0,0,0,0,0
0,d_19000801,100,99.4,22.5,0,0,0,0,0,0,0,0
0,d_19000901,100,96.7,0,0,0,0,0,0,0,0,0
0,d_19001001,100,71.5,0,0,0,0,0,0,0,0,0
0,d_19001101,0,0,0,0,0,0,100,100,1.7,0,0
0,d_19001201,0,0,0,0,0,0,100,73.3,0,0,0
0,d_19010101,0,0,0,0,0,0,100,36.9,0,0,0
13.7,d_19010201,0,0,0,0,0,0,86.3,0,0,0,0
100,d_19010301,0,0,0,0,0,0,0,0,0,0,0
100,d_19010401,0,0,0,0,0,0,0,0,0,0,0
100,d_19010501,0,0,0,0,0,0,0,0,0,0,0
100,d_19010601,0,0,0,0,0,0,0,0,0,0,0
100,d_19010701,0,0,0,0,0,0,0,0,0,0,0
96.5,d_19010801,3.5,0,0,0,0,0,0,0,0,0,0
100,d_19010901,0,0,0,0,0,0,0,0,0,0,0
100,d_19011001,0,0,0,0,0,0,0,0,0,0,0
98.3,d_19011101,1.7,0,0,0,0,0,0,0,0,0,0
96.1,d_19011201,3.9,0.1,0,0,0,0,0,0,0,0,0
64.5,d_19020101,35.5,0,0,0,0,0,0,0,0,0,0
32.8,d_19020201,67.2,2.6,0,0,0,0,0,0,0,0,0
98.7,d_19020301,1.3,0,0,0,0,0,0,0,0,0,0
66.9,d_19020401,33.1,0,0,0,0,0,0,0,0,0,0
36.9,d_19020501,63.1,0,0,0,0,0,0,0,0,0,0
30.7,d_19020601,69.3,0,0,0,0,0,0,0,0,0,0
0,d_19020701,100,91.7,0,0,0,0,0,0,0,0,0
0,d_19020801,100,9.6,0,0,0,0,0,0,0,0,0
100,d_19020901,0,0,0,0,0,0,0,0,0,0,0
100,d_19021001,0,0,0,0,0,0,0,0,0,0,0
100,d_19021101,0,0,0,0,0,0,0,0,0,0,0
99,d_19021201,0,0,0,0,0,0,1,0,0,0,0
99.8,d_19030101,0.2,0,0,0,0,0,0,0,0,0,0
