boundary,place
feature,"Los Angeles, California"
feature id,1477
center,"-118.4117, 34.0206"
scenario,Medium (RCP 4.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,71.6209869385,76.7603912354,72.7612762451,75.7061920166,72.5541610718,74.1556930542,73.2205963135
1951,71.2769470215,76.3254394531,72.4103240967,73.8531799316,73.0806808472,75.6972961426,73.7863922119
1952,71.408782959,75.8105621338,71.60496521,73.0755157471,75.7347564697,74.7589569092,73.0593109131
1953,72.2800521851,77.9769592285,73.8370895386,73.853843689,73.0556869507,74.4651184082,75.6849899292
1954,72.0785675049,76.2911605835,73.4939880371,72.9180297852,73.4164733887,73.3182601929,74.3486633301
1955,71.8519744873,76.9661102295,71.9288787842,72.4390258789,73.7232208252,73.1244049072,74.4266204834
1956,71.5385284424,76.6048202515,73.6072006226,73.9789733887,73.6181335449,74.9791717529,72.9431915283
1957,71.3608856201,76.3227462769,73.4404296875,73.9136657715,73.5500717163,74.1496505737,75.9658508301
1958,70.693901062,77.0281219482,75.7563476562,73.6320800781,73.984085083,73.645980835,73.5789108276
1959,70.5661315918,76.5551605225,75.8269195557,74.8325042725,73.4544906616,72.7917404175,74.4894561768
1960,71.1378631592,75.7147674561,74.4445037842,74.328125,73.9896850586,75.4687805176,73.2999725342
1961,71.6121368408,75.8394622803,73.8426971436,72.7608642578,73.2338867188,74.1453094482,73.8298950195
1962,71.4897003174,76.6573944092,72.3084259033,73.8903198242,74.7382965088,73.3421020508,76.2366638184
1963,71.8783874512,76.5939941406,73.3580627441,76.5594482422,72.4904937744,73.9451446533,76.0853881836
1964,71.5669250488,75.3084335327,72.3421936035,72.6317749023,71.9813842773,72.1910629272,75.1106796265
1965,70.8865509033,76.0204620361,72.3851547241,70.8865509033,73.0327301025,74.7092895508,72.0136871338
1966,71.5123291016,76.7488555908,73.8886108398,72.592338562,72.8276672363,76.639755249,71.9148101807
1967,71.55078125,75.9272918701,74.0885620117,73.7979278564,72.6842956543,71.9995117188,73.7347564697
1968,71.5726470947,77.5848007202,74.5791702271,73.4306488037,72.8540878296,72.7533416748,74.3817901611
1969,71.397354126,76.0627593994,73.3605422974,72.7995910645,74.2440795898,72.5721740723,73.790725708
1970,71.4520111084,76.0168304443,74.4335327148,72.0702133179,74.8544235229,73.0630493164,74.2558288574
1971,71.1110534668,75.3046417236,73.4168701172,73.672454834,73.7188720703,72.9768600464,71.8486175537
1972,71.5808258057,76.0302352905,74.6703643799,73.7662811279,73.1979064941,76.0302352905,74.0493469238
1973,71.9482650757,76.5210494995,73.1297912598,73.7050933838,73.1719207764,75.1373748779,74.5458221436
1974,71.5435791016,76.3818511963,73.8115005493,74.2198486328,72.0903778076,75.0332260132,72.5904159546
1975,71.7914886475,75.4277954102,72.6213989258,75.4063720703,72.555809021,75.2892074585,72.0434570312
1976,71.399772644,75.968711853,75.3041229248,73.8261566162,73.4107055664,73.4139556885,72.2100143433
1977,70.9036865234,76.119934082,74.6188049316,73.0870513916,73.7099761963,74.2584686279,75.419670105
1978,71.8580169678,76.0556640625,74.4780654907,74.9618682861,74.7006149292,73.1174316406,75.3584213257
1979,71.1246185303,77.2229156494,74.927192688,75.0664596558,73.6304931641,72.7752609253,73.6971282959
1980,70.7368011475,76.7300643921,75.3706893921,76.6299743652,74.8618392944,72.1799621582,73.2894210815
1981,71.0743560791,76.9546813965,76.1563415527,75.6952667236,73.1905441284,71.0743560791,71.9432678223
1982,71.7100830078,76.2568283081,73.3049621582,72.6142578125,74.2300720215,73.1102905273,74.0880737305
1983,70.34815979,76.1428451538,74.7138519287,73.2537689209,73.0723876953,73.6050033569,72.8740234375
1984,70.549156189,76.7307739258,76.545135498,72.731918335,73.9018554688,73.5847930908,74.8203125
1985,72.0322570801,76.3206634521,74.5465393066,72.1512374878,72.1096038818,73.341217041,72.5052719116
1986,72.0988922119,76.8541564941,74.8522491455,73.7326660156,74.9686279297,75.8643417358,72.3803024292
1987,72.3539352417,78.0543060303,73.663734436,72.8452453613,74.2408370972,73.0606307983,72.4571533203
1988,71.9123382568,76.2237091064,74.5918426514,73.4138412476,74.2594604492,72.9920196533,75.7869415283
1989,72.0768051147,76.6771087646,75.2383041382,72.8123397827,73.8123703003,72.2475891113,74.9605560303
1990,72.3497619629,75.9946899414,75.3428726196,73.4475097656,75.2877807617,72.5709152222,74.598991394
1991,72.4243011475,76.6976013184,73.5043182373,74.5307159424,73.9160766602,74.2149047852,74.3847579956
1992,71.7360687256,76.2029418945,75.0551757812,72.0246200562,74.8968811035,73.8122558594,73.5556182861
1993,70.5955200195,76.0928573608,74.1353607178,75.2419128418,72.3839874268,73.8736190796,70.5955200195
1994,72.1092681885,76.3967437744,74.0144805908,72.1092681885,74.3433990479,73.8202209473,74.7536239624
1995,71.380821228,76.8102645874,73.6396179199,74.9170455933,73.9934234619,74.8505249023,75.3796844482
1996,72.1199264526,76.5102844238,74.8876419067,75.3151855469,75.6658782959,72.4395141602,73.5185394287
1997,72.3312988281,77.1990661621,75.312713623,73.5307922363,73.6672973633,75.2879486084,74.5738830566
1998,72.3046569824,77.9441680908,72.213470459,75.1154022217,75.2210922241,74.513458252,74.3285064697
1999,72.3764038086,76.8848571777,72.8379364014,75.8351745605,74.8862304688,74.9854354858,74.2672042847
2000,71.8019866943,76.525718689,73.2715148926,75.4161529541,75.6058349609,71.8019866943,75.8654403687
2001,72.8579330444,76.2019500732,72.0508270264,75.5664978027,74.5510864258,74.7156066895,75.9593200684
2002,72.3882141113,77.1887435913,72.6210632324,75.4154968262,74.8562927246,77.1887435913,74.6789169312
2003,72.5236206055,77.8474884033,73.8285598755,73.8610992432,74.0404968262,75.3894042969,74.3198852539
2004,72.3376159668,77.7061462402,73.5363693237,74.9736251831,76.3533477783,74.9847259521,72.9980621338
2005,72.210723877,78.2448577881,73.7849731445,74.8660736084,78.2448577881,74.2636871338,72.9540634155
2006,71.1507110596,77.7771148682,73.6535491943,74.5562591553,76.847618103,76.7591247559,76.5222015381
2007,72.1904602051,77.694442749,,75.5911712646,75.9773406982,75.8406066895,77.6815948486
2008,72.6955566406,78.6081237793,,75.9894714355,75.6073760986,76.0171661377,76.695892334
2009,72.9194564819,76.8018035889,,76.360534668,74.2681884766,75.1725311279,74.4772033691
2010,72.4889526367,77.4596099854,,75.8934020996,76.0926971436,77.1087646484,73.8760910034
2011,72.3920593262,78.1360931396,,75.9700317383,74.8863372803,73.2859649658,75.1890106201
2012,73.576385498,78.0359039307,,76.8953552246,76.9073791504,75.2250976562,76.5790023804
2013,72.7061004639,77.8383102417,,77.8383102417,76.8994750977,74.5539474487,75.6039123535
2014,72.7789459229,77.3010787964,,75.1546783447,75.676864624,75.2292175293,74.8091049194
2015,73.2419052124,79.0778427124,,74.975769043,75.1204071045,74.6934204102,73.6637802124
2016,72.6105804443,77.9504852295,,74.0503845215,75.1356735229,75.5775985718,75.0180053711
2017,73.1923522949,78.6628875732,,75.6600494385,75.6017150879,73.7897338867,76.8561859131
