boundary,place
feature,"Los Angeles, California"
feature id,1477
center,"-118.4117, 34.0206"
scenario,Medium (RCP 4.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,50.2173080444,53.3277587891,49.6268882751,51.3580741882,52.2932853699,51.3060531616,51.0281524658
1951,49.3432922363,53.7480926514,49.2629318237,51.72605896,51.7945632935,52.1396942139,52.635345459
1952,49.3610916138,53.2884292603,49.0433731079,51.2056388855,52.9250564575,53.2710113525,52.4738464355
1953,50.2691116333,53.5662155151,49.654548645,51.3236312866,51.4791412354,53.4952468872,52.5338287354
1954,50.175945282,53.7041473389,50.629486084,51.375541687,50.918346405,52.2376403809,51.9634780884
1955,49.5900993347,53.3738479614,49.9961547852,51.7761611938,51.313911438,51.1758651733,51.3689498901
1956,48.7729911804,53.0248641968,50.2604179382,51.4373397827,51.8441085815,51.3943862915,51.3434066772
1957,49.530166626,54.0026473999,51.9050750732,51.4670028687,51.5697784424,51.602684021,53.0503540039
1958,49.1558074951,53.9065170288,52.8301696777,50.5641479492,50.3055839539,51.3114929199,52.0484542847
1959,50.2267570496,53.8809738159,53.3219146729,51.1919631958,51.2388725281,50.7824478149,52.0007171631
1960,49.3709220886,54.1352539062,51.1608276367,51.7155151367,51.8479537964,52.0346679688,52.219127655
1961,48.9887084961,53.3038635254,51.5644454956,51.3742790222,50.8306732178,51.1092338562,51.6589889526
1962,50.0008773804,52.9037399292,50.2170715332,51.9304618835,50.3116264343,51.6689300537,52.690826416
1963,49.0964279175,54.059173584,51.4342956543,53.1553268433,51.3153915405,50.175453186,52.5554199219
1964,48.8842849731,53.1149520874,50.51171875,51.6105422974,50.7422332764,50.3526077271,52.5621185303
1965,49.4130020142,53.1451644897,51.2667160034,49.7463798523,50.9733886719,52.0962982178,52.0835037231
1966,49.0924758911,53.3377532959,52.1963195801,50.0313644409,51.4292106628,52.0672988892,50.4464836121
1967,49.6679916382,52.9769668579,52.3328971863,52.1683158875,51.071056366,51.2499694824,51.2722167969
1968,49.1879997253,52.6236419678,51.9849624634,50.9260368347,50.9160385132,52.2603263855,50.9882202148
1969,50.1268920898,54.0403289795,52.132774353,52.131729126,51.1346130371,52.2840576172,50.8251800537
1970,49.8379516602,53.4905204773,51.5151023865,49.9473724365,51.3380813599,52.0808639526,50.9539413452
1971,49.8422355652,53.0185470581,50.6482849121,50.7718963623,51.5272064209,51.1004447937,49.9557266235
1972,49.8856887817,53.4072418213,51.5042266846,50.7510795593,51.62059021,53.3677482605,50.7622299194
1973,49.1479568481,53.2061386108,50.9245910645,51.9029388428,50.9291152954,53.0120658875,51.3588409424
1974,50.1366691589,52.8996734619,51.1182785034,51.9652862549,51.4202575684,52.6393547058,51.5420379639
1975,48.6598892212,53.4634933472,49.7105560303,51.5112228394,51.8249931335,52.1629333496,51.3336296082
1976,48.4343948364,52.8108520508,51.7980613708,51.2330474854,52.5634918213,52.1569442749,51.0601272583
1977,50.7440490723,54.2841186523,51.6316223145,51.3910903931,51.6215286255,52.6936798096,52.3617324829
1978,50.0080184937,53.5994491577,51.6119995117,51.4495353699,51.6847000122,51.652015686,52.1717758179
1979,49.5595016479,53.1763687134,51.5151405334,51.829826355,51.2997360229,50.895275116,52.0835037231
1980,49.8692092896,53.4531669617,52.0039482117,53.4518508911,52.7474594116,50.5648612976,51.1781730652
1981,49.7597808838,53.7626495361,53.2568893433,53.1934509277,51.5212211609,49.7832946777,50.8784103394
1982,49.8806304932,53.4042205811,51.4674072266,51.5677490234,51.582359314,50.5220718384,50.7756347656
1983,49.6243743896,53.37241745,53.4779853821,51.7835197449,51.5640106201,50.6742858887,50.760635376
1984,50.1816558838,53.8924560547,53.3768768311,51.3997116089,51.1180229187,52.324760437,51.6617355347
1985,49.7423706055,54.240447998,51.5502548218,51.2735366821,51.2601852417,50.9349899292,51.0666046143
1986,49.9814300537,53.8300552368,52.6424026489,50.7793121338,52.4107818604,53.8300552368,51.2224502563
1987,49.4828720093,55.1026535034,52.0042037964,51.5687942505,51.6847000122,52.0743255615,51.1232414246
1988,50.6356124878,53.7580947876,52.3474960327,51.5661010742,51.3426361084,51.0175552368,52.8836364746
1989,50.0693206787,53.7412834167,52.1213607788,52.1899032593,51.4736480713,51.2622756958,52.3804092407
1990,49.3297805786,53.632850647,52.6357421875,51.9255180359,52.6415519714,50.7975540161,51.3534049988
1991,49.9259490967,54.2615966797,52.244972229,53.6481742859,52.4288024902,51.4157524109,51.6788749695
1992,50.190612793,53.9660110474,54.2085189819,52.1147003174,53.7434806824,51.5362701416,52.4704971313
1993,50.0870132446,54.1788139343,53.438911438,54.1788139343,51.3113250732,51.814994812,51.0484237671
1994,49.7461624146,53.5455627441,52.1715736389,51.1969604492,52.1409072876,52.0921783447,51.7792358398
1995,49.2604522705,54.8577690125,52.5978164673,52.1581535339,52.9011611938,52.8696289062,51.8933830261
1996,50.2800979614,53.9999008179,52.8504104614,51.8912963867,53.4584960938,51.4127311707,51.5643997192
1997,50.4325332642,55.3949432373,53.9785118103,51.604385376,52.8513908386,53.184387207,52.8766021729
1998,49.7336883545,55.18384552,51.698425293,51.6809082031,53.3083114624,53.2641448975,52.7377929688
