OBJECTID,agency,comments,latest,gisacres,incidentname,localincidentidentifier,state,pooresponsibleunit,perimeterdatetime,incomplex,fireyear,uniquefireidentifier,active,complexname,mapmethod,shape__Area,shape__Length
1,unknown,,N,633.86410012,Prince Fire,X355,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X355,N,,GPS-Unknown Travel Method,4457233.09375,8464.41352495345
2,unknown,Perimeter Date Unknown,N,24.3694241,Lone Sheep,,ID,IDCNPF,12/31/2000 12:00:00 AM,,2000,2000-IDCNF,N,,GPS-Unknown Travel Method,201062.5390625,1984.80776711971
3,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,136539.74759456,,,MT,MTBRF,12/31/2000 12:00:00 AM,,2000,2000-MTBRF,N,,GPS-Unknown Travel Method,1140530140.24219,434630.076527898
4,NPS,No entry in FireCode,Y,2554.36157425,Plateau,002027,WY,,8/16/2000 12:00:00 AM,Y,2000,2000-WY-002027,N,Yellowstone Complex,Image Interpretation,20204396.8164063,47400.8577269647
5,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,234.27059762,,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,1922085.625,5702.96787294994
6,unknown,Perimeter Date Unknown;  Fire Name Unknown,Y,234.27059762,,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,1922085.625,5702.96787294994
7,unknown,Perimeter Date Unknown,Y,40.46847518,Putnam,,ID,IDIFD,12/31/2000 12:00:00 AM,,2000,2000-IDIFD,N,,GPS-Unknown Travel Method,306110.703125,2756.61128417076
8,unknown,Perimeter Date Unknown,N,858.94151046,Falls Fork,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,7192535.4453125,16029.0620002617
9,unknown,Perimeter Date Unknown,N,1993.39341682,Falls Fork,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,16693645.9375,26060.9053530162
10,unknown,Perimeter Date Unknown,N,858.94151046,Falls Fork,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,7192535.4453125,16029.0620002617
11,unknown,Perimeter Date Unknown,N,38789.87286055,Three Bears,,ID,IDNPF,12/31/2000 12:00:00 AM,,2000,2000-IDNPF,N,,GPS-Unknown Travel Method,319767156.109375,127097.416992223
12,unknown,Perimeter Date Unknown,N,108.51718849,Fern,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,889933.1796875,4033.14463766712
13,unknown,Perimeter Date Unknown,N,811.22303665,Mussigbrod,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,6773574.6875,10444.7118083134
14,unknown,Perimeter Date Unknown,N,22.81918258,Mussigbrod,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,190782.2578125,1910.24815869799
15,unknown,Perimeter Date Unknown,N,11.903898,Mussigbrod,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,99523.4453125,1721.81824349352
16,unknown,Perimeter Date Unknown,N,95.56020969,Maynerd,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,796254.7421875,3845.68010034791
17,unknown,Perimeter Date Unknown,N,38789.87286055,Three Bears,,ID,IDNPF,12/31/2000 12:00:00 AM,,2000,2000-IDNPF,N,,GPS-Unknown Travel Method,319767156.109375,127097.416992223
18,unknown,Perimeter Date Unknown,N,2184.28671071,Falls Fork,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,18293290.1640625,33713.9841169684
19,unknown,Perimeter Date Unknown,N,382.31312144,Cooper Creek,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,3199930.8671875,8412.87051411558
20,BLM,Perimeter Date Unknown,Y,787.95795946,Rock Creek,008008,AK,AKAFS,12/31/2000 12:00:00 AM,,2000,2000-AKAFS-008008,N,,Digitized-Other,17638426.828125,48541.2127649736
21,BLM,Perimeter Date Unknown,Y,693.78440834,Finger,T792,WY,WYCAD,12/31/2000 12:00:00 AM,,2000,2000-WYCAD-T792,N,,GPS-Unknown Travel Method,5260632.1875,16718.0713344017
22,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,65.9144622,,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,548430.1875,3413.80757660108
23,unknown,,N,0.17880146,South Willow Fire,X394,NV,,8/13/2000 12:00:00 AM,,2000,2000-NV-X394,N,,GPS-Unknown Travel Method,1254.69921875,172.599561279515
24,CDF,No entry in FireCode,N,47.09168358,Five,000153,CA,,7/18/2000 12:00:00 AM,,2000,2000-CA-000153,N,,Unknown,296315.296875,2702.60484585661
25,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,7423.24919709,,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,62747417.09375,42549.43169478
26,unknown,Perimeter Date Unknown;  Fire Name Unknown,Y,7480.51830906,,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,63231196.3125,42270.606405536
27,unknown,Perimeter Date Unknown,N,26.40993088,Skalkaho,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,221934.5546875,2050.02576760519
28,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,169.92940061,,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,1429110.9609375,4738.68510064906
29,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,260.21896603,,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,2162160.125,9231.27499531202
30,unknown,Perimeter Date Unknown,N,38789.87286055,Three Bears,,ID,IDNPF,12/31/2000 12:00:00 AM,,2000,2000-IDNPF,N,,GPS-Unknown Travel Method,319767156.109375,127097.416992223
31,unknown,Perimeter Date Unknown,N,211.48051438,Maynerd,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,1756682.2890625,6687.09471472698
32,unknown,Perimeter Date Unknown,N,63.82702379,Maynerd,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,530183.375,3070.76198128579
